0.00.210.201 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.210.407 W srv  llama_server: -----------------
0.00.210.409 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.210.409 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.210.409 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.210.409 W srv  llama_server: -----------------
0.00.211.580 I srv    load_model: loading model '/home/funboy/models/gguf/qwen38-flash-next-agenticrequant/trunk-q5k-00001-of-00003.gguf'
0.15.374.357 W read_raw_unsafe: Falling back to buffered IO due to Bad address
0.39.360.582 W read_raw_unsafe: Falling back to buffered IO due to Bad address
1.34.616.509 I cmn          init: llama threadpool init, n_threads = 16
1.35.299.148 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.35.299.183 W srv    load_model: LLAMA_TRACE = 1
1.35.308.167 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.35.308.219 I srv  llama_server: model loaded
1.35.308.224 I srv  llama_server: listening on http://127.0.0.1:18431
1.35.625.111 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.50.459.857 I slot      release: id  0 | task 324 | stop processing: n_tokens = 110, truncated = 0
1.50.475.399 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.515 (> 0.100 thold), f_keep = 0.464
1.50.530.613 I slot launch_slot_: id  0 | task 362 | processing task, is_child = 0
1.54.344.100 I slot print_timing: id  0 | task 362 | n_gen =    100, tg =  31.75 t/s, tg_3s =  32.07 t/s
1.56.036.739 I slot print_timing: id  0 | task 362 | prompt eval time =     695.53 ms /    99 tokens (    7.03 ms per token,   142.34 tokens per second)
1.56.036.741 I slot print_timing: id  0 | task 362 |        eval time =    4810.58 ms /   154 tokens (   31.44 ms per token,    31.80 tokens per second)
1.56.036.742 I slot print_timing: id  0 | task 362 |       total time =    5506.11 ms /   253 tokens
1.56.036.743 I slot print_timing: id  0 | task 362 |    graphs reused =        495
1.56.036.759 I slot      release: id  0 | task 362 | stop processing: n_tokens = 252, truncated = 0
1.56.403.641 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 236593991734
1.56.459.301 I slot launch_slot_: id  0 | task 518 | processing task, is_child = 0
2.01.426.209 I slot print_timing: id  0 | task 518 | n_gen =    100, tg =  31.28 t/s, tg_3s =  31.60 t/s
2.04.429.477 I slot print_timing: id  0 | task 518 | n_gen =    194, tg =  31.29 t/s, tg_3s =  31.30 t/s
2.07.437.386 I slot print_timing: id  0 | task 518 | n_gen =    288, tg =  31.28 t/s, tg_3s =  31.25 t/s
2.10.451.826 I slot print_timing: id  0 | task 518 | n_gen =    382, tg =  31.25 t/s, tg_3s =  31.18 t/s
2.13.459.823 I slot print_timing: id  0 | task 518 | n_gen =    476, tg =  31.25 t/s, tg_3s =  31.25 t/s
2.16.475.536 I slot print_timing: id  0 | task 518 | n_gen =    570, tg =  31.24 t/s, tg_3s =  31.17 t/s
2.19.488.499 I slot print_timing: id  0 | task 518 | n_gen =    664, tg =  31.23 t/s, tg_3s =  31.20 t/s
2.22.500.745 I slot print_timing: id  0 | task 518 | n_gen =    758, tg =  31.23 t/s, tg_3s =  31.21 t/s
2.25.524.370 I slot print_timing: id  0 | task 518 | n_gen =    852, tg =  31.21 t/s, tg_3s =  31.09 t/s
2.28.545.405 I slot print_timing: id  0 | task 518 | n_gen =    946, tg =  31.20 t/s, tg_3s =  31.12 t/s
2.31.568.084 I slot print_timing: id  0 | task 518 | n_gen =   1040, tg =  31.20 t/s, tg_3s =  31.10 t/s
2.34.571.718 I slot print_timing: id  0 | task 518 | n_gen =   1133, tg =  31.18 t/s, tg_3s =  30.96 t/s
2.37.601.734 I slot print_timing: id  0 | task 518 | n_gen =   1227, tg =  31.16 t/s, tg_3s =  31.02 t/s
2.40.632.135 I slot print_timing: id  0 | task 518 | n_gen =   1321, tg =  31.15 t/s, tg_3s =  31.02 t/s
2.43.653.326 I slot print_timing: id  0 | task 518 | n_gen =   1414, tg =  31.13 t/s, tg_3s =  30.78 t/s
2.46.676.279 I slot print_timing: id  0 | task 518 | n_gen =   1507, tg =  31.11 t/s, tg_3s =  30.76 t/s
2.49.705.006 I slot print_timing: id  0 | task 518 | n_gen =   1600, tg =  31.08 t/s, tg_3s =  30.71 t/s
2.52.705.115 I slot print_timing: id  0 | task 518 | n_gen =   1692, tg =  31.06 t/s, tg_3s =  30.67 t/s
2.55.706.931 I slot print_timing: id  0 | task 518 | n_gen =   1784, tg =  31.04 t/s, tg_3s =  30.65 t/s
2.58.710.165 I slot print_timing: id  0 | task 518 | n_gen =   1876, tg =  31.02 t/s, tg_3s =  30.63 t/s
3.01.735.284 I slot print_timing: id  0 | task 518 | n_gen =   1969, tg =  31.00 t/s, tg_3s =  30.74 t/s
3.04.762.793 I slot print_timing: id  0 | task 518 | n_gen =   2062, tg =  30.99 t/s, tg_3s =  30.72 t/s
3.07.763.686 I slot print_timing: id  0 | task 518 | n_gen =   2154, tg =  30.98 t/s, tg_3s =  30.66 t/s
3.10.790.856 I slot print_timing: id  0 | task 518 | n_gen =   2247, tg =  30.97 t/s, tg_3s =  30.72 t/s
3.13.810.588 I slot print_timing: id  0 | task 518 | n_gen =   2340, tg =  30.96 t/s, tg_3s =  30.80 t/s
3.16.841.737 I slot print_timing: id  0 | task 518 | n_gen =   2433, tg =  30.95 t/s, tg_3s =  30.68 t/s
3.19.866.838 I slot print_timing: id  0 | task 518 | n_gen =   2526, tg =  30.94 t/s, tg_3s =  30.74 t/s
3.22.866.947 I slot print_timing: id  0 | task 518 | n_gen =   2618, tg =  30.93 t/s, tg_3s =  30.67 t/s
3.25.869.073 I slot print_timing: id  0 | task 518 | n_gen =   2710, tg =  30.92 t/s, tg_3s =  30.64 t/s
3.28.876.533 I slot print_timing: id  0 | task 518 | n_gen =   2802, tg =  30.91 t/s, tg_3s =  30.59 t/s
3.31.887.538 I slot print_timing: id  0 | task 518 | n_gen =   2894, tg =  30.90 t/s, tg_3s =  30.55 t/s
3.34.897.696 I slot print_timing: id  0 | task 518 | n_gen =   2986, tg =  30.89 t/s, tg_3s =  30.56 t/s
3.37.906.562 I slot print_timing: id  0 | task 518 | n_gen =   3078, tg =  30.88 t/s, tg_3s =  30.58 t/s
3.40.926.569 I slot print_timing: id  0 | task 518 | n_gen =   3170, tg =  30.87 t/s, tg_3s =  30.46 t/s
3.43.936.897 I slot print_timing: id  0 | task 518 | n_gen =   3262, tg =  30.86 t/s, tg_3s =  30.56 t/s
3.46.949.265 I slot print_timing: id  0 | task 518 | n_gen =   3354, tg =  30.85 t/s, tg_3s =  30.54 t/s
3.49.968.278 I slot print_timing: id  0 | task 518 | n_gen =   3446, tg =  30.84 t/s, tg_3s =  30.47 t/s
3.52.983.389 I slot print_timing: id  0 | task 518 | n_gen =   3538, tg =  30.83 t/s, tg_3s =  30.51 t/s
3.55.998.170 I slot print_timing: id  0 | task 518 | n_gen =   3630, tg =  30.82 t/s, tg_3s =  30.52 t/s
3.59.022.079 I slot print_timing: id  0 | task 518 | n_gen =   3722, tg =  30.81 t/s, tg_3s =  30.42 t/s
4.02.052.704 I slot print_timing: id  0 | task 518 | n_gen =   3814, tg =  30.80 t/s, tg_3s =  30.36 t/s
4.05.053.656 I slot print_timing: id  0 | task 518 | n_gen =   3905, tg =  30.79 t/s, tg_3s =  30.32 t/s
4.08.082.087 I slot print_timing: id  0 | task 518 | n_gen =   3997, tg =  30.78 t/s, tg_3s =  30.38 t/s
4.11.108.038 I slot print_timing: id  0 | task 518 | n_gen =   4089, tg =  30.77 t/s, tg_3s =  30.40 t/s
4.14.113.363 I slot print_timing: id  0 | task 518 | n_gen =   4180, tg =  30.76 t/s, tg_3s =  30.28 t/s
4.17.113.423 I slot print_timing: id  0 | task 518 | n_gen =   4271, tg =  30.75 t/s, tg_3s =  30.33 t/s
4.20.114.080 I slot print_timing: id  0 | task 518 | n_gen =   4362, tg =  30.74 t/s, tg_3s =  30.33 t/s
4.23.120.932 I slot print_timing: id  0 | task 518 | n_gen =   4453, tg =  30.73 t/s, tg_3s =  30.26 t/s
4.26.120.986 I slot print_timing: id  0 | task 518 | n_gen =   4544, tg =  30.73 t/s, tg_3s =  30.33 t/s
4.29.121.455 I slot print_timing: id  0 | task 518 | n_gen =   4635, tg =  30.72 t/s, tg_3s =  30.33 t/s
4.32.124.668 I slot print_timing: id  0 | task 518 | n_gen =   4726, tg =  30.71 t/s, tg_3s =  30.30 t/s
4.35.127.172 I slot print_timing: id  0 | task 518 | n_gen =   4817, tg =  30.70 t/s, tg_3s =  30.31 t/s
4.38.133.629 I slot print_timing: id  0 | task 518 | n_gen =   4908, tg =  30.69 t/s, tg_3s =  30.27 t/s
4.41.141.237 I slot print_timing: id  0 | task 518 | n_gen =   4999, tg =  30.69 t/s, tg_3s =  30.26 t/s
4.44.146.956 I slot print_timing: id  0 | task 518 | n_gen =   5090, tg =  30.68 t/s, tg_3s =  30.28 t/s
4.47.161.864 I slot print_timing: id  0 | task 518 | n_gen =   5181, tg =  30.67 t/s, tg_3s =  30.18 t/s
4.50.168.310 I slot print_timing: id  0 | task 518 | n_gen =   5272, tg =  30.66 t/s, tg_3s =  30.27 t/s
4.53.176.905 I slot print_timing: id  0 | task 518 | n_gen =   5363, tg =  30.65 t/s, tg_3s =  30.25 t/s
4.56.199.000 I slot print_timing: id  0 | task 518 | n_gen =   5454, tg =  30.65 t/s, tg_3s =  30.11 t/s
4.59.210.086 I slot print_timing: id  0 | task 518 | n_gen =   5545, tg =  30.64 t/s, tg_3s =  30.22 t/s
5.02.227.117 I slot print_timing: id  0 | task 518 | n_gen =   5636, tg =  30.63 t/s, tg_3s =  30.16 t/s
5.05.251.993 I slot print_timing: id  0 | task 518 | n_gen =   5727, tg =  30.62 t/s, tg_3s =  30.08 t/s
5.08.271.518 I slot print_timing: id  0 | task 518 | n_gen =   5818, tg =  30.61 t/s, tg_3s =  30.14 t/s
5.11.288.992 I slot print_timing: id  0 | task 518 | n_gen =   5909, tg =  30.61 t/s, tg_3s =  30.16 t/s
5.14.315.901 I slot print_timing: id  0 | task 518 | n_gen =   6000, tg =  30.60 t/s, tg_3s =  30.06 t/s
5.17.334.549 I slot print_timing: id  0 | task 518 | n_gen =   6091, tg =  30.59 t/s, tg_3s =  30.15 t/s
5.20.356.590 I slot print_timing: id  0 | task 518 | n_gen =   6182, tg =  30.58 t/s, tg_3s =  30.11 t/s
5.23.357.249 I slot print_timing: id  0 | task 518 | n_gen =   6272, tg =  30.58 t/s, tg_3s =  29.99 t/s
5.26.378.613 I slot print_timing: id  0 | task 518 | n_gen =   6363, tg =  30.57 t/s, tg_3s =  30.12 t/s
5.29.410.303 I slot print_timing: id  0 | task 518 | n_gen =   6454, tg =  30.56 t/s, tg_3s =  30.02 t/s
5.32.426.453 I slot print_timing: id  0 | task 518 | n_gen =   6544, tg =  30.55 t/s, tg_3s =  29.84 t/s
5.35.459.884 I slot print_timing: id  0 | task 518 | n_gen =   6635, tg =  30.54 t/s, tg_3s =  30.00 t/s
5.38.469.521 I slot print_timing: id  0 | task 518 | n_gen =   6725, tg =  30.53 t/s, tg_3s =  29.90 t/s
5.41.481.223 I slot print_timing: id  0 | task 518 | n_gen =   6815, tg =  30.53 t/s, tg_3s =  29.88 t/s
5.44.493.715 I slot print_timing: id  0 | task 518 | n_gen =   6905, tg =  30.52 t/s, tg_3s =  29.88 t/s
5.47.506.446 I slot print_timing: id  0 | task 518 | n_gen =   6995, tg =  30.51 t/s, tg_3s =  29.87 t/s
5.50.536.389 I slot print_timing: id  0 | task 518 | n_gen =   7086, tg =  30.50 t/s, tg_3s =  30.03 t/s
5.53.557.392 I slot print_timing: id  0 | task 518 | n_gen =   7176, tg =  30.49 t/s, tg_3s =  29.79 t/s
5.56.573.968 I slot print_timing: id  0 | task 518 | n_gen =   7266, tg =  30.49 t/s, tg_3s =  29.84 t/s
5.59.578.504 I slot print_timing: id  0 | task 518 | n_gen =   7356, tg =  30.48 t/s, tg_3s =  29.95 t/s
6.02.583.024 I slot print_timing: id  0 | task 518 | n_gen =   7446, tg =  30.47 t/s, tg_3s =  29.95 t/s
6.05.597.930 I slot print_timing: id  0 | task 518 | n_gen =   7536, tg =  30.46 t/s, tg_3s =  29.85 t/s
6.08.608.484 I slot print_timing: id  0 | task 518 | n_gen =   7626, tg =  30.46 t/s, tg_3s =  29.89 t/s
6.11.616.839 I slot print_timing: id  0 | task 518 | n_gen =   7716, tg =  30.45 t/s, tg_3s =  29.92 t/s
6.14.634.824 I slot print_timing: id  0 | task 518 | n_gen =   7806, tg =  30.44 t/s, tg_3s =  29.82 t/s
6.17.646.797 I slot print_timing: id  0 | task 518 | n_gen =   7896, tg =  30.44 t/s, tg_3s =  29.88 t/s
6.20.660.579 I slot print_timing: id  0 | task 518 | n_gen =   7986, tg =  30.43 t/s, tg_3s =  29.86 t/s
6.23.678.542 I slot print_timing: id  0 | task 518 | n_gen =   8076, tg =  30.42 t/s, tg_3s =  29.82 t/s
6.26.694.015 I slot print_timing: id  0 | task 518 | n_gen =   8166, tg =  30.42 t/s, tg_3s =  29.85 t/s
6.27.563.854 I slot print_timing: id  0 | task 518 | prompt eval time =    1802.23 ms /   712 tokens (    2.53 ms per token,   395.07 tokens per second)
6.27.563.855 I slot print_timing: id  0 | task 518 |        eval time =  269302.30 ms /  8192 tokens (   32.88 ms per token,    30.42 tokens per second)
6.27.563.856 I slot print_timing: id  0 | task 518 |       total time =  271104.53 ms /  8904 tokens
6.27.563.857 I slot print_timing: id  0 | task 518 |    graphs reused =       8653
6.27.563.925 I slot      release: id  0 | task 518 | stop processing: n_tokens = 8903, truncated = 0
6.27.632.718 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 236865518901
6.27.747.422 I slot launch_slot_: id  0 | task 8712 | processing task, is_child = 0
6.32.734.928 I slot print_timing: id  0 | task 8712 | n_gen =    100, tg =  31.27 t/s, tg_3s =  31.58 t/s
6.35.736.706 I slot print_timing: id  0 | task 8712 | n_gen =    194, tg =  31.29 t/s, tg_3s =  31.31 t/s
6.38.737.670 I slot print_timing: id  0 | task 8712 | n_gen =    288, tg =  31.30 t/s, tg_3s =  31.32 t/s
6.41.748.382 I slot print_timing: id  0 | task 8712 | n_gen =    382, tg =  31.28 t/s, tg_3s =  31.22 t/s
6.44.753.048 I slot print_timing: id  0 | task 8712 | n_gen =    476, tg =  31.28 t/s, tg_3s =  31.28 t/s
6.47.759.347 I slot print_timing: id  0 | task 8712 | n_gen =    570, tg =  31.28 t/s, tg_3s =  31.27 t/s
6.50.777.753 I slot print_timing: id  0 | task 8712 | n_gen =    664, tg =  31.26 t/s, tg_3s =  31.14 t/s
6.53.790.293 I slot print_timing: id  0 | task 8712 | n_gen =    758, tg =  31.25 t/s, tg_3s =  31.20 t/s
6.56.814.312 I slot print_timing: id  0 | task 8712 | n_gen =    852, tg =  31.23 t/s, tg_3s =  31.08 t/s
6.59.840.070 I slot print_timing: id  0 | task 8712 | n_gen =    946, tg =  31.22 t/s, tg_3s =  31.07 t/s
7.02.860.140 I slot print_timing: id  0 | task 8712 | n_gen =   1040, tg =  31.21 t/s, tg_3s =  31.13 t/s
7.05.892.043 I slot print_timing: id  0 | task 8712 | n_gen =   1134, tg =  31.19 t/s, tg_3s =  31.00 t/s
7.08.923.717 I slot print_timing: id  0 | task 8712 | n_gen =   1228, tg =  31.18 t/s, tg_3s =  31.01 t/s
7.11.925.984 I slot print_timing: id  0 | task 8712 | n_gen =   1321, tg =  31.16 t/s, tg_3s =  30.98 t/s
7.14.946.656 I slot print_timing: id  0 | task 8712 | n_gen =   1414, tg =  31.14 t/s, tg_3s =  30.79 t/s
7.17.966.874 I slot print_timing: id  0 | task 8712 | n_gen =   1507, tg =  31.12 t/s, tg_3s =  30.79 t/s
7.20.983.746 I slot print_timing: id  0 | task 8712 | n_gen =   1600, tg =  31.10 t/s, tg_3s =  30.83 t/s
7.23.986.051 I slot print_timing: id  0 | task 8712 | n_gen =   1692, tg =  31.07 t/s, tg_3s =  30.64 t/s
7.26.989.635 I slot print_timing: id  0 | task 8712 | n_gen =   1784, tg =  31.05 t/s, tg_3s =  30.63 t/s
7.29.994.778 I slot print_timing: id  0 | task 8712 | n_gen =   1876, tg =  31.03 t/s, tg_3s =  30.61 t/s
7.33.015.434 I slot print_timing: id  0 | task 8712 | n_gen =   1969, tg =  31.02 t/s, tg_3s =  30.79 t/s
7.36.040.278 I slot print_timing: id  0 | task 8712 | n_gen =   2062, tg =  31.01 t/s, tg_3s =  30.75 t/s
7.39.041.106 I slot print_timing: id  0 | task 8712 | n_gen =   2154, tg =  30.99 t/s, tg_3s =  30.66 t/s
7.42.070.117 I slot print_timing: id  0 | task 8712 | n_gen =   2247, tg =  30.98 t/s, tg_3s =  30.70 t/s
7.45.099.927 I slot print_timing: id  0 | task 8712 | n_gen =   2340, tg =  30.97 t/s, tg_3s =  30.70 t/s
7.48.104.366 I slot print_timing: id  0 | task 8712 | n_gen =   2432, tg =  30.95 t/s, tg_3s =  30.62 t/s
7.51.133.745 I slot print_timing: id  0 | task 8712 | n_gen =   2525, tg =  30.94 t/s, tg_3s =  30.70 t/s
7.54.165.232 I slot print_timing: id  0 | task 8712 | n_gen =   2618, tg =  30.94 t/s, tg_3s =  30.68 t/s
7.57.176.019 I slot print_timing: id  0 | task 8712 | n_gen =   2710, tg =  30.92 t/s, tg_3s =  30.56 t/s
8.00.180.541 I slot print_timing: id  0 | task 8712 | n_gen =   2802, tg =  30.91 t/s, tg_3s =  30.62 t/s
8.03.192.545 I slot print_timing: id  0 | task 8712 | n_gen =   2894, tg =  30.90 t/s, tg_3s =  30.54 t/s
8.06.202.634 I slot print_timing: id  0 | task 8712 | n_gen =   2986, tg =  30.89 t/s, tg_3s =  30.56 t/s
8.09.212.321 I slot print_timing: id  0 | task 8712 | n_gen =   3078, tg =  30.88 t/s, tg_3s =  30.57 t/s
8.12.228.815 I slot print_timing: id  0 | task 8712 | n_gen =   3170, tg =  30.87 t/s, tg_3s =  30.50 t/s
8.15.237.588 I slot print_timing: id  0 | task 8712 | n_gen =   3262, tg =  30.86 t/s, tg_3s =  30.58 t/s
8.18.247.940 I slot print_timing: id  0 | task 8712 | n_gen =   3354, tg =  30.85 t/s, tg_3s =  30.56 t/s
8.21.266.489 I slot print_timing: id  0 | task 8712 | n_gen =   3446, tg =  30.84 t/s, tg_3s =  30.48 t/s
8.24.279.074 I slot print_timing: id  0 | task 8712 | n_gen =   3538, tg =  30.83 t/s, tg_3s =  30.54 t/s
8.27.291.677 I slot print_timing: id  0 | task 8712 | n_gen =   3630, tg =  30.83 t/s, tg_3s =  30.54 t/s
8.30.316.212 I slot print_timing: id  0 | task 8712 | n_gen =   3722, tg =  30.82 t/s, tg_3s =  30.42 t/s
8.33.337.424 I slot print_timing: id  0 | task 8712 | n_gen =   3814, tg =  30.81 t/s, tg_3s =  30.45 t/s
8.36.358.120 I slot print_timing: id  0 | task 8712 | n_gen =   3906, tg =  30.80 t/s, tg_3s =  30.46 t/s
8.39.358.315 I slot print_timing: id  0 | task 8712 | n_gen =   3997, tg =  30.79 t/s, tg_3s =  30.33 t/s
8.42.383.858 I slot print_timing: id  0 | task 8712 | n_gen =   4089, tg =  30.78 t/s, tg_3s =  30.41 t/s
8.42.613.711 I slot print_timing: id  0 | task 8712 | prompt eval time =    1821.07 ms /   701 tokens (    2.60 ms per token,   384.94 tokens per second)
8.42.613.713 I slot print_timing: id  0 | task 8712 |        eval time =  133045.20 ms /  4096 tokens (   32.49 ms per token,    30.78 tokens per second)
8.42.613.714 I slot print_timing: id  0 | task 8712 |       total time =  134866.27 ms /  4797 tokens
8.42.613.715 I slot print_timing: id  0 | task 8712 |    graphs reused =      12731
8.42.613.763 I slot      release: id  0 | task 8712 | stop processing: n_tokens = 4796, truncated = 0
8.42.675.931 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 237000568738
8.42.762.463 I slot launch_slot_: id  0 | task 12810 | processing task, is_child = 0
8.48.411.912 I slot print_timing: id  0 | task 12810 | n_gen =    100, tg =  31.00 t/s, tg_3s =  31.31 t/s
8.51.427.539 I slot print_timing: id  0 | task 12810 | n_gen =    194, tg =  31.08 t/s, tg_3s =  31.17 t/s
8.54.453.467 I slot print_timing: id  0 | task 12810 | n_gen =    288, tg =  31.08 t/s, tg_3s =  31.06 t/s
8.57.468.374 I slot print_timing: id  0 | task 12810 | n_gen =    382, tg =  31.10 t/s, tg_3s =  31.18 t/s
9.00.487.771 I slot print_timing: id  0 | task 12810 | n_gen =    476, tg =  31.11 t/s, tg_3s =  31.13 t/s
9.03.510.037 I slot print_timing: id  0 | task 12810 | n_gen =    570, tg =  31.11 t/s, tg_3s =  31.10 t/s
9.06.531.469 I slot print_timing: id  0 | task 12810 | n_gen =    664, tg =  31.11 t/s, tg_3s =  31.11 t/s
9.09.533.882 I slot print_timing: id  0 | task 12810 | n_gen =    757, tg =  31.09 t/s, tg_3s =  30.98 t/s
9.12.536.622 I slot print_timing: id  0 | task 12810 | n_gen =    850, tg =  31.08 t/s, tg_3s =  30.97 t/s
9.15.541.465 I slot print_timing: id  0 | task 12810 | n_gen =    943, tg =  31.07 t/s, tg_3s =  30.95 t/s
9.18.562.874 I slot print_timing: id  0 | task 12810 | n_gen =   1036, tg =  31.04 t/s, tg_3s =  30.78 t/s
9.21.578.944 I slot print_timing: id  0 | task 12810 | n_gen =   1129, tg =  31.02 t/s, tg_3s =  30.83 t/s
9.24.597.248 I slot print_timing: id  0 | task 12810 | n_gen =   1222, tg =  31.01 t/s, tg_3s =  30.81 t/s
9.27.600.616 I slot print_timing: id  0 | task 12810 | n_gen =   1314, tg =  30.98 t/s, tg_3s =  30.63 t/s
9.30.607.372 I slot print_timing: id  0 | task 12810 | n_gen =   1406, tg =  30.95 t/s, tg_3s =  30.60 t/s
9.33.611.910 I slot print_timing: id  0 | task 12810 | n_gen =   1498, tg =  30.93 t/s, tg_3s =  30.62 t/s
9.36.616.081 I slot print_timing: id  0 | task 12810 | n_gen =   1590, tg =  30.92 t/s, tg_3s =  30.62 t/s
9.39.645.958 I slot print_timing: id  0 | task 12810 | n_gen =   1683, tg =  30.90 t/s, tg_3s =  30.69 t/s
9.42.647.923 I slot print_timing: id  0 | task 12810 | n_gen =   1775, tg =  30.89 t/s, tg_3s =  30.65 t/s
9.45.671.918 I slot print_timing: id  0 | task 12810 | n_gen =   1868, tg =  30.88 t/s, tg_3s =  30.75 t/s
9.48.694.604 I slot print_timing: id  0 | task 12810 | n_gen =   1961, tg =  30.88 t/s, tg_3s =  30.77 t/s
9.51.701.015 I slot print_timing: id  0 | task 12810 | n_gen =   2053, tg =  30.87 t/s, tg_3s =  30.60 t/s
